                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.6215,                 3.4723,                0.23851,                 1.2815,                 1.4352,                0.46063,                0.71911,                0.52777,                0.23965,                0.22351,                0.41287,                0.20104,                0.10755,                 2.0064,                 4.2726,                0.15639,                  1.477,                 1.8369,             0.00040287,             0.00040287,             0.00040287
                     23,                 1.6315,                 3.3982,                0.23878,                 1.2955,                 1.4391,                0.50273,                0.70625,                0.56322,                0.24539,                0.23638,                0.39279,                0.21221,                 0.1141,                  2.028,                 4.2514,                0.16388,                 1.4797,                   1.85,             0.00038966,             0.00038966,             0.00038966
                     24,                 1.6197,                 3.3991,                0.23689,                 1.2911,                 1.4329,                0.47309,                0.73593,                0.55348,                0.24147,                 0.2363,                0.43731,                0.22852,                0.11092,                 2.0233,                 4.2956,                0.16161,                  1.461,                 1.8729,             0.00037645,             0.00037645,             0.00037645
                     25,                 1.6201,                  3.347,                0.23199,                 1.2539,                 1.4268,                0.51428,                0.70158,                 0.5662,                0.25545,                  0.239,                0.41084,                0.22886,                 0.1247,                  1.993,                 4.1764,                0.14888,                 1.4649,                 1.8535,             0.00036325,             0.00036325,             0.00036325
                     26,                 1.5939,                 3.2915,                0.23007,                 1.2635,                 1.4164,                0.51627,                0.72182,                0.56108,                0.24984,                0.26476,                0.43023,                0.23004,                0.12062,                  1.997,                 4.2397,                0.15597,                 1.4534,                 1.8153,             0.00035004,             0.00035004,             0.00035004
                     27,                 1.5941,                 3.2315,                0.22228,                 1.2492,                 1.3862,                0.53317,                0.71515,                0.58662,                0.26201,                0.26928,                0.42862,                 0.2517,                0.13103,                 1.9942,                 4.2454,                0.15044,                 1.4159,                 1.8454,             0.00033683,             0.00033683,             0.00033683
                     28,                 1.5915,                  3.182,                0.22419,                 1.2482,                 1.4128,                0.50101,                0.74576,                0.56042,                0.24999,                0.25011,                0.44232,                0.21728,                0.11588,                  2.027,                 4.2503,                0.14687,                 1.4111,                 1.8796,             0.00032363,             0.00032363,             0.00032363
                     29,                 1.5847,                 3.2115,                0.22395,                 1.2389,                 1.4046,                0.49479,                0.71438,                0.56387,                0.25137,                0.26173,                0.42681,                 0.2451,                 0.1252,                 1.9955,                 4.3248,                0.14601,                  1.419,                 1.8479,             0.00031042,             0.00031042,             0.00031042
                     30,                 1.5678,                 3.1833,                0.22227,                 1.2281,                 1.4019,                0.51921,                0.72416,                0.55586,                0.25068,                0.27745,                0.44838,                0.23697,                0.12348,                 2.0139,                 4.2313,                0.13943,                 1.3888,                 1.8713,             0.00029722,             0.00029722,             0.00029722
                     31,                 1.5548,                 3.1022,                0.21971,                 1.2039,                 1.3794,                0.52988,                0.75965,                0.59581,                 0.2607,                0.26549,                0.44489,                0.25061,                0.13104,                 1.9891,                 4.1877,                0.13769,                 1.3738,                 1.8452,             0.00028401,             0.00028401,             0.00028401
                     32,                  1.545,                 3.0948,                0.21472,                 1.1915,                 1.3812,                0.50546,                0.73259,                0.56314,                0.24366,                0.24032,                0.41797,                0.24407,                0.12545,                 2.0399,                 4.2861,                0.13815,                 1.3926,                 1.8808,              0.0002708,              0.0002708,              0.0002708
                     33,                 1.5532,                 3.0362,                0.21689,                    1.2,                 1.3805,                0.49881,                0.72135,                0.56897,                0.24962,                0.25029,                0.43219,                 0.2404,                0.12455,                 2.0143,                 4.3036,                0.13321,                   1.41,                 1.8755,              0.0002576,              0.0002576,              0.0002576
                     34,                 1.5296,                 2.9943,                0.21685,                 1.1943,                 1.3751,                0.48656,                0.74122,                0.54191,                0.24683,                0.24288,                0.40237,                0.22499,                0.12459,                 1.9901,                 4.3176,                0.13335,                 1.3853,                 1.8318,             0.00024439,             0.00024439,             0.00024439
                     35,                 1.5036,                 2.9271,                0.21157,                 1.1729,                 1.3658,                0.55765,                 0.6801,                0.59438,                0.26117,                0.27578,                0.40853,                0.25473,                0.13189,                 2.0234,                  4.257,                0.12673,                 1.3616,                 1.8809,             0.00023118,             0.00023118,             0.00023118
