                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.6342,                 3.4978,                0.23662,                 1.2899,                 1.4202,                0.48455,                0.72625,                0.56078,                 0.2437,                0.23761,                0.40555,                0.23677,                0.12743,                 2.0133,                 4.3945,                0.15345,                 1.4851,                 1.8345,             0.00038966,             0.00038966,             0.00038966
                     23,                 1.6096,                 3.4409,                0.23635,                 1.2836,                 1.4231,                0.46142,                  0.755,                0.50279,                0.23121,                0.22147,                0.42948,                0.20253,                0.11005,                 1.9779,                 4.4168,                 0.1504,                 1.4858,                 1.8258,             0.00037645,             0.00037645,             0.00037645
                     24,                 1.6158,                 3.4028,                 0.2303,                 1.2702,                 1.4206,                 0.4932,                0.73021,                0.56724,                0.25025,                0.23555,                 0.4049,                0.22936,                0.12339,                 2.0121,                 4.3943,                0.14517,                 1.4799,                  1.867,             0.00036325,             0.00036325,             0.00036325
                     25,                 1.6053,                 3.2972,                0.22923,                 1.2697,                 1.4171,                0.47867,                0.71044,                0.52808,                0.23611,                0.23339,                0.40355,                0.20276,                0.09961,                 2.0198,                 4.5011,                0.15194,                 1.4741,                 1.8463,             0.00035004,             0.00035004,             0.00035004
                     26,                 1.5809,                  3.371,                0.22825,                 1.2501,                 1.3995,                0.50934,                0.73361,                0.56386,                0.23979,                0.24598,                0.40396,                 0.2359,                0.11906,                 2.0151,                 4.4733,                 0.1449,                 1.4459,                 1.8335,             0.00033683,             0.00033683,             0.00033683
                     27,                 1.5794,                  3.246,                0.22435,                 1.2451,                 1.4049,                0.52367,                0.69829,                0.55891,                0.25181,                0.25751,                0.40695,                0.22324,                0.11596,                 2.0168,                 4.4325,                0.13794,                 1.4051,                 1.8573,             0.00032363,             0.00032363,             0.00032363
                     28,                 1.5734,                 3.1726,                0.22418,                 1.2228,                 1.3915,                0.52508,                0.72681,                0.56601,                0.25535,                0.24255,                 0.4243,                 0.2182,                0.11579,                 1.9991,                 4.4459,                0.14933,                 1.3987,                 1.8466,             0.00031042,             0.00031042,             0.00031042
                     29,                 1.5532,                 3.1698,                0.22222,                  1.223,                 1.3925,                0.50555,                0.73443,                0.56808,                0.25429,                0.22891,                0.42306,                0.22158,                0.11932,                 1.9511,                 4.4456,                0.14099,                 1.3831,                 1.7975,             0.00029722,             0.00029722,             0.00029722
                     30,                 1.5693,                 3.1221,                0.21776,                 1.2175,                 1.3996,                0.52955,                0.75082,                0.59056,                0.26358,                0.25543,                0.40748,                0.23708,                0.13063,                 1.9621,                 4.4432,                0.13785,                 1.3586,                 1.8269,             0.00028401,             0.00028401,             0.00028401
                     31,                 1.5517,                 3.0694,                0.21628,                 1.1962,                 1.3772,                0.49123,                0.74892,                 0.5443,                0.24151,                0.23877,                0.42378,                0.22715,                0.11381,                 2.0435,                  4.447,                0.12998,                 1.3976,                 1.8735,              0.0002708,              0.0002708,              0.0002708
                     32,                 1.5416,                 3.0768,                0.21955,                 1.2049,                 1.3832,                 0.5007,                0.73498,                0.55403,                0.24516,                0.23281,                0.40802,                0.22174,                0.11384,                 2.0263,                 4.4535,                0.13194,                 1.4051,                 1.8679,              0.0002576,              0.0002576,              0.0002576
                     33,                 1.5313,                 3.0168,                0.21405,                  1.184,                 1.3488,                0.50205,                0.74495,                0.58351,                0.25965,                0.24492,                0.41601,                0.24496,                 0.1244,                  2.039,                 4.4035,                0.12887,                 1.3706,                 1.8821,             0.00024439,             0.00024439,             0.00024439
                     34,                 1.5351,                 2.9553,                0.21644,                  1.178,                 1.3775,                0.51916,                0.71813,                0.57606,                0.25078,                0.24691,                0.42356,                0.23223,                0.12843,                 2.0562,                 4.4022,                0.12379,                 1.3817,                 1.8854,             0.00023118,             0.00023118,             0.00023118
                     35,                 1.5093,                 2.8886,                 0.2104,                 1.1546,                 1.3434,                0.51845,                0.73322,                0.54974,                0.24811,                0.24478,                0.39684,                0.20466,                0.11425,                 2.0514,                 4.5468,                0.13026,                 1.3944,                 1.8844,             0.00021798,             0.00021798,             0.00021798
                     36,                 1.5101,                 2.9244,                0.20804,                 1.1543,                 1.3557,                0.51525,                0.75529,                 0.5629,                0.24907,                0.23714,                0.42568,                0.22652,                0.12373,                 2.0511,                 4.5377,                0.13361,                 1.3811,                 1.8799,             0.00020477,             0.00020477,             0.00020477
                     37,                    1.5,                 2.8586,                0.21068,                  1.153,                 1.3501,                0.48097,                0.73093,                0.55242,                0.24482,                 0.2265,                0.39114,                0.21034,                 0.1159,                 2.0319,                 4.5151,                0.12905,                 1.3957,                 1.8742,             0.00019156,             0.00019156,             0.00019156
                     38,                 1.4895,                 2.8525,                0.20807,                  1.137,                 1.3354,                0.51567,                0.75413,                0.56353,                0.25387,                0.25641,                0.42232,                0.23009,                0.12826,                 2.0413,                 4.4657,                0.12108,                 1.3568,                 1.8996,             0.00017836,             0.00017836,             0.00017836
                     39,                 1.4951,                 2.8812,                0.21108,                 1.1373,                 1.3567,                 0.5246,                0.75352,                0.57284,                0.25561,                0.24127,                0.39645,                0.21818,                0.12862,                 2.0348,                 4.5063,                0.12033,                 1.3463,                 1.8858,             0.00016515,             0.00016515,             0.00016515
                     40,                 1.4609,                 2.8276,                0.20616,                 1.1293,                 1.3344,                0.52972,                 0.7316,                0.56777,                0.25376,                0.25521,                0.38612,                0.21129,                0.11991,                 2.0657,                 4.5406,                0.12326,                 1.3502,                 1.9108,             0.00015194,             0.00015194,             0.00015194
                     41,                 1.4725,                 2.7649,                0.13173,                 1.1469,                  1.404,                0.51227,                0.75246,                0.57454,                0.25064,                0.23615,                0.41112,                0.22469,                0.12344,                  2.069,                 4.5867,                0.11667,                 1.3552,                  1.921,             0.00013874,             0.00013874,             0.00013874
                     42,                 1.4542,                 2.7105,                0.13333,                 1.1186,                 1.4111,                0.52696,                0.71024,                0.55707,                0.24896,                0.25882,                0.38255,                0.21787,                0.11934,                 2.0624,                 4.5338,                0.11458,                 1.3383,                 1.9127,             0.00012553,             0.00012553,             0.00012553
                     43,                 1.4198,                 2.7019,                 0.1321,                 1.0962,                 1.3923,                0.51259,                  0.742,                0.57632,                0.25295,                0.25811,                0.41504,                0.23784,                0.13267,                 2.0923,                 4.4895,                0.11126,                 1.3309,                 1.9569,             0.00011232,             0.00011232,             0.00011232
                     44,                  1.409,                 2.6331,                0.12983,                 1.0802,                 1.3694,                0.55469,                0.72546,                 0.5894,                0.25976,                0.26087,                0.39984,                0.23242,                0.13052,                 2.0696,                 4.5999,                0.11138,                  1.307,                 1.9322,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     45,                 1.4073,                 2.6336,                0.13078,                 1.0781,                 1.3705,                0.54547,                0.74383,                0.58548,                0.25633,                0.26867,                0.39639,                0.23215,                0.13094,                  2.054,                 4.5576,                0.11125,                 1.3137,                  1.926,              8.591e-05,              8.591e-05,              8.591e-05
                     46,                 1.3971,                 2.6068,                 0.1291,                 1.0625,                 1.3611,                 0.5356,                0.73917,                0.58649,                0.26086,                0.26644,                0.39768,                0.24391,                0.13435,                 2.0839,                 4.5838,                0.11092,                 1.3069,                 1.9641,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     47,                  1.374,                 2.5486,                0.12378,                 1.0514,                 1.3714,                0.55016,                0.72762,                0.59658,                0.26247,                0.28381,                0.40873,                 0.2548,                0.14072,                 2.0808,                 4.5252,                0.10914,                 1.3023,                 1.9647,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     48,                 1.3607,                 2.5316,                0.12607,                 1.0451,                 1.3662,                0.54219,                 0.7386,                0.59192,                0.25661,                0.27951,                0.40784,                0.25083,                0.13777,                 2.0854,                 4.5308,                0.11069,                 1.3014,                 1.9673,              4.629e-05,              4.629e-05,              4.629e-05
                     49,                 1.3731,                 2.5505,                0.12787,                 1.0425,                 1.3517,                0.53454,                 0.7465,                0.58331,                0.25521,                0.26068,                 0.4089,                0.24227,                0.13485,                  2.083,                 4.5725,                0.10924,                 1.3024,                 1.9619,             3.3083e-05,             3.3083e-05,             3.3083e-05
                     50,                 1.3618,                 2.5009,                0.12529,                 1.0314,                 1.3511,                0.53767,                 0.7394,                0.58982,                0.25889,                0.25841,                0.40246,                0.24658,                0.13641,                 2.0785,                 4.5612,                0.10858,                 1.2944,                 1.9576,             1.9877e-05,             1.9877e-05,             1.9877e-05
